399,3545
2869,438
1782,4010
870,2490
4105,376
3002,2434
859,365
4833,1178
1986,1514
1355,525
263,2461
2869,3964
2268,3388
2312,3343
448,1613
4525,1864
1167,4606
1115,2858
1430,3932
3687,4145
2854,4476
3172,4416
984,4908
1610,2127
1927,1828
1722,1063
956,3529
1610,769
740,2086
4746,4504
1368,4331
3444,1530
1660,1605
43,988
1223,3273
4487,317
371,256
95,566
3987,3128
1206,666
1557,2683
97,3612
2768,1533
189,2878
4547,2977
2042,1248
1690,4164
3149,1967
3807,3329
2393,4623
3565,2138
4078,3834
4853,4214
2993,1841
4088,2888
1586,3254
4962,1525
4843,4719
708,4748
1375,2303
1791,1793
315,1685
1243,1734
917,3593
867,3108
4526,1362
4178,4539
717,3630
4278,3510
2411,3117
3879,4272
1858,3651
1208,3237
1191,1146
4287,1167
4404,716
1292,2600
675,4601
3840,2035
332,186
1606,1366
3863,1731
2112,4048
1673,2875
1695,3301
2241,4932
3062,1726
3868,799
880,2330
2462,2406
4190,3082
1504,4685
730,4944
396,544
3474,2207
2509,474
4550,3844
1336,3847
3349,3233
3512,2153
1273,4158
134,2133
4000,2712
2080,4338
4792,4036
3765,3710
3548,465
277,405
1796,4758
4171,3556
1486,1529
1247,4087
4784,4340
4676,3024
3758,2849
3558,591
2123,3260
1556,714
286,1644
3203,2346
2706,936
3961,3422
3489,2992
851,1387
1549,2034
3131,498
4387,2514
4159,2003
2790,3675
2604,3929
535,4688
2184,2051
4194,438
4110,4669
2415,3821
4509,727
4488,4507
2714,81
2439,1554
677,2388
2888,4732
3121,4162
4080,4512
1409,4209
2416,665
1766,2303
2854,2423
4532,150
2584,3104
1745,1776
2500,836
778,1921
261,4977
4718,3797
677,2542
713,2779
2736,3889
1266,693
3618,2809
569,385
3851,137
854,1282
2210,1087
4341,1607
1670,4058
2982,2375
3336,570
4519,2880
2822,847
4605,595
592,4225
780,1115
13,1850
2874,1070
363,74
1105,3495
2452,716
519,3834
1588,54
4111,4282
702,3145
1394,2088
2789,3134
2857,611
4520,2519
916,3033
660,4181
390,1603
2091,2159
1473,4938
3587,539
133,1284
791,1000
3033,4309
2546,1059
4211,4239
3978,1791
626,996
2845,117
1981,2493
243,4488
1578,3989
2439,4111
4306,1683
3264,4934
2420,2412
1546,2930
2586,3263
1244,1859
1205,2459
1293,2734
3480,3450
2296,1956
2360,3782
1331,4639
3741,1483
3316,4243
1932,3115
861,483
130,528
152,608
2645,4597
3879,4938
1912,4836
691,823
1768,2840
4283,1594
1328,4061
2226,424
4024,1469
2057,1918
1141,4037
4375,3025
3136,320
3076,1833
4182,200
3191,3215
1255,379
3679,1662
977,2461
287,2315
4932,72
3324,3892
1534,4174
1724,1173
3089,4926
4538,1716
740,794
1928,1738
2655,3411
1551,870
717,2456
3782,4972
3264,4981
1874,1138
375,4061
1878,412
2417,3173
2115,2944
1361,2431
3649,2606
901,1575
1821,19
1193,3086
2581,1790
3389,334
855,4022
2859,1687
3947,644
4068,3078
103,1687
3481,1823
1091,1621
51,4061
1532,3418
3848,3007
4060,1457
771,3091
4680,2776
3409,1691
4504,1048
370,580
4314,2899
2252,65
835,3535
2398,4240
1456,3728
4408,2280
429,224
1444,2222
4532,4876
2974,2463
3009,850
3654,3718
678,4529
3054,386
4468,2432
2932,3906
2773,3124
2093,724
3976,112
4762,4527
1689,2819
58,2951
3257,1392
2931,3877
4688,4038
2675,2029
4837,3750
497,942
1327,3376
3654,4782
453,459
1023,665
1910,2428
2452,241
4712,3460
2266,4107
1931,3057
771,963
4244,3944
3212,2944
1461,4927
742,224
4664,2549
4165,4249
2365,1689
4589,3312
1472,2679
536,4167
3309,3718
2620,1140
4162,4342
91,1216
4778,2779
1313,440
4790,399
4127,41
2800,3210
4829,1337
4698,315
3227,246
